time_of_post,latitude, longitude,category,number_of_tradies,estimated_size,number_of_impressions,accepted
2019-09-15 11:40:06,-37.8994,144.9799,8,8376,medium,1004,0
2019-09-11 15:12:06,-37.8063,144.9964,3,5089,medium,772,0
2019-09-10 15:53:06,-37.8901,144.8885,7,3677,small,1103,0
2019-09-10 11:38:06,-33.7674,151.1690,3,9732,medium,1111,1
2019-09-10 17:38:06,-33.9091,151.2039,6,2476,small,360,0
2019-09-15 08:59:06,-33.8712,151.2583,5,355,medium,1531,0
2019-09-14 13:36:06,-37.8493,145.1805,3,5089,small,460,0
2019-09-11 17:54:06,-17.8442,122.1037,5,3590,medium,1025,0
2019-09-15 15:42:06,-38.0545,144.9955,7,3677,medium,1642,1
2019-09-16 13:44:06,-33.8440,151.1713,9,10000,small,1521,0
2019-09-10 04:05:06,-37.7917,144.9517,6,8260,medium,907,0
2019-09-14 14:37:06,-33.9120,151.2118,4,2257,medium,1456,0
2019-09-15 10:59:06,-33.9536,151.1311,2,7331,small,542,0
2019-09-15 04:13:06,-33.7568,151.0544,1,1542,small,944,0
2019-09-11 14:31:06,-33.9526,151.2305,5,355,small,650,0
2019-09-13 14:11:06,-33.9079,151.1946,5,355,small,463,0
2019-09-11 09:31:06,-33.8721,151.1800,7,4242,medium,870,0
2019-09-12 08:41:06,-33.5578,151.2559,7,4242,small,831,0
2019-09-16 07:21:06,-17.8485,122.0640,2,3001,medium,556,0
2019-09-16 10:22:06,-37.9473,145.0383,5,1058,small,483,0
2019-09-12 16:50:06,-37.6961,145.0039,7,3677,medium,1586,0
2019-09-15 14:49:06,-37.8261,144.9803,8,8376,small,1210,1
2019-09-14 12:56:06,-33.9291,151.2663,6,2476,medium,1043,0
2019-09-13 16:09:06,-33.9457,151.1543,6,2476,medium,711,1
2019-09-14 14:36:06,-33.9235,151.0647,8,1627,small,1753,0
2019-09-13 19:34:06,-37.7896,144.9561,6,8260,medium,1189,0
2019-09-14 13:02:06,-37.6912,144.9855,2,634,small,854,0
2019-09-11 14:16:06,-33.9291,151.3439,5,355,small,1071,0
2019-09-11 06:40:06,-37.9173,144.9697,5,1058,small,532,0
2019-09-16 13:31:06,-33.7788,151.1707,9,10000,small,683,0
2019-09-15 17:36:06,-34.0530,151.4940,5,355,medium,1139,0
2019-09-12 15:36:06,-33.9212,151.2305,8,1627,small,940,0
2019-09-16 16:47:06,-33.7761,150.9720,5,355,small,986,0
2019-09-14 14:28:06,-33.7730,151.1242,7,4242,medium,1180,1
2019-09-14 14:10:06,-33.8247,151.4429,2,7331,medium,1554,1
2019-09-10 16:21:06,-37.7068,144.9884,8,8376,medium,1150,1
2019-09-16 12:49:06,-37.7499,145.0449,2,634,medium,1178,0
2019-09-16 13:52:06,-17.8114,122.2089,6,7591,medium,506,1
2019-09-16 13:53:06,-33.9402,151.3503,3,9732,medium,429,1
2019-09-14 07:57:06,-34.0871,151.0916,3,9732,medium,945,0
2019-09-13 17:45:06,-37.7495,145.0112,7,3677,medium,,1
2019-09-15 13:11:06,-37.5887,145.0987,5,1058,medium,853,1
2019-09-12 10:55:06,-37.6448,145.0821,3,5089,medium,1061,0
2019-09-11 01:50:06,-33.9495,151.2235,6,2476,medium,214,0
2019-09-13 13:46:06,-37.8936,144.8670,4,5479,medium,1721,1
2019-09-16 13:11:06,-33.8792,151.2691,9,10000,medium,1220,1
2019-09-14 17:33:06,-33.8411,151.1783,4,2257,medium,85,1
2019-09-15 16:29:06,-37.7999,145.0656,6,8260,medium,693,1
2019-09-10 11:19:06,-33.7918,151.2583,1,1542,medium,886,0
2019-09-14 14:56:06,-18.0599,122.1972,2,3001,small,548,1
2019-09-12 10:43:06,-33.9859,151.0973,2,7331,small,1685,0
2019-09-14 15:33:06,-33.9362,151.1927,3,9732,small,909,1
2019-09-12 12:17:06,-37.8497,145.0043,4,5479,medium,1365,1
2019-09-13 12:21:06,-37.9855,144.8393,1,6153,small,797,0
2019-09-13 02:55:06,-33.9581,151.2363,9,10000,medium,1932,0
2019-09-11 04:52:06,-33.9167,151.2608,3,9732,small,863,0
2019-09-11 15:37:06,-37.7654,144.9823,6,8260,small,116,0
2019-09-10 16:37:06,-33.8124,151.1827,3,9732,small,560,0
2019-09-14 08:37:06,-33.8436,151.3034,3,9732,medium,1143,0
2019-09-14 04:20:06,-33.8488,151.2670,2,7331,medium,591,0
2019-09-16 11:44:06,-33.8646,151.3194,4,2257,medium,650,0
2019-09-11 11:48:06,-37.7205,145.0295,4,5479,medium,1665,0
2019-09-11 06:46:06,-37.8644,144.9528,9,1432,medium,1534,0
2019-09-11 15:34:06,-37.8965,145.0178,7,3677,medium,1548,1
2019-09-11 16:09:06,-37.9867,144.9279,7,3677,small,1203,0
2019-09-16 08:15:06,-37.6882,144.9894,3,5089,small,1295,0
2019-09-14 04:40:06,-33.9201,151.1116,5,355,medium,1357,0
2019-09-14 11:27:06,-33.8535,151.2207,7,4242,medium,984,0
2019-09-13 13:06:06,-37.5895,144.8968,5,1058,small,595,0
2019-09-14 12:42:06,-33.9742,151.2076,5,355,small,876,0
2019-09-10 15:13:06,-33.7817,150.9731,6,2476,small,-141,0
2019-09-11 14:03:06,-17.8874,122.1917,4,7386,small,1071,0
2019-09-10 13:36:06,-33.8688,151.1772,5,355,small,535,0
2019-09-14 07:53:06,-37.8859,144.8817,3,5089,medium,852,0
2019-09-11 15:21:06,-37.8035,145.0122,4,5479,small,1182,0
2019-09-14 14:53:06,-33.6611,151.0160,4,2257,medium,1174,0
2019-09-11 07:29:06,-37.8891,145.0531,7,3677,small,1196,0
2019-09-10 13:58:06,-33.7749,151.2580,6,2476,medium,167,1
2019-09-10 13:16:06,-33.7752,151.5025,1,1542,small,1006,1
